epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6756,2.68669,3.23154,3.40523,0.10861,0,0,0,0,0,0,0,0,0.000641026,0.000641026,0.000641026
2,20.9384,2.07461,1.8538,2.29647,0.06847,0,0,0,0,0,0,0,0,0.00128372,0.00128372,0.00128372
3,31.3289,1.95378,1.76903,2.12318,0.06217,0,0,0,0,0,0,0,0,0.00190197,0.00190197,0.00190197
4,41.3604,1.92825,1.7586,2.06377,0.0565,0,0,0,0,0,0,0,0,0.00189,0.00189,0.00189
5,51.4165,1.89756,1.70967,1.93819,0.05856,0,0,0,0,0,0,0,0,0.00185333,0.00185333,0.00185333
6,61.2223,1.8274,1.69006,1.88691,0.05461,0,0,0,0,0,0,0,0,0.00181667,0.00181667,0.00181667
7,71.3689,1.79238,1.64153,1.86628,0.05068,0,0,0,0,0,0,0,0,0.00178,0.00178,0.00178
8,81.1461,1.75137,1.58969,1.83859,0.04765,0,0,0,0,0,0,0,0,0.00174333,0.00174333,0.00174333
9,91.0324,1.70938,1.56891,1.80911,0.04432,0,0,0,0,0,0,0,0,0.00170667,0.00170667,0.00170667
10,101.206,1.74847,1.57497,1.81818,0.04734,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
11,111.142,1.66794,1.52207,1.764,0.04251,0,0,0,0,0,0,0,0,0.00163333,0.00163333,0.00163333
12,121.12,1.68139,1.50728,1.76539,0.04565,0,0,0,0,0,0,0,0,0.00159667,0.00159667,0.00159667
13,130.921,1.64037,1.46414,1.72379,0.04403,0,0,0,0,0,0,0,0,0.00156,0.00156,0.00156
14,140.863,1.59649,1.43074,1.69848,0.04174,0,0,0,0,0,0,0,0,0.00152333,0.00152333,0.00152333
15,150.741,1.61811,1.42325,1.70667,0.04231,0,0,0,0,0,0,0,0,0.00148667,0.00148667,0.00148667
16,160.606,1.60437,1.40275,1.68835,0.03753,0,0,0,0,0,0,0,0,0.00145,0.00145,0.00145
17,170.739,1.57153,1.38935,1.68553,0.03934,0,0,0,0,0,0,0,0,0.00141333,0.00141333,0.00141333
18,181.043,1.55214,1.36501,1.67026,0.03745,0,0,0,0,0,0,0,0,0.00137667,0.00137667,0.00137667
19,190.909,1.5498,1.35408,1.66463,0.03739,0,0,0,0,0,0,0,0,0.00134,0.00134,0.00134
20,200.985,1.52636,1.35063,1.64864,0.03757,0,0,0,0,0,0,0,0,0.00130333,0.00130333,0.00130333
21,211.275,1.51776,1.35688,1.63737,0.03576,0,0,0,0,0,0,0,0,0.00126667,0.00126667,0.00126667
22,221.326,1.53115,1.32343,1.65415,0.03674,0,0,0,0,0,0,0,0,0.00123,0.00123,0.00123
23,231.578,1.49358,1.27655,1.63151,0.03618,0,0,0,0,0,0,0,0,0.00119333,0.00119333,0.00119333
24,241.438,1.49739,1.27957,1.6264,0.03424,0,0,0,0,0,0,0,0,0.00115667,0.00115667,0.00115667
25,251.369,1.47347,1.2533,1.57602,0.03252,0,0,0,0,0,0,0,0,0.00112,0.00112,0.00112
26,261.31,1.47314,1.25555,1.59081,0.0315,0,0,0,0,0,0,0,0,0.00108333,0.00108333,0.00108333
