epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2581,2.31219,2.72185,3.586,0.06142,0,0,0,0,0,0,0,0,0.000641026,0.000641026,0.000641026
2,21.3309,1.96894,1.67663,2.36461,0.05183,0,0,0,0,0,0,0,0,0.00128372,0.00128372,0.00128372
3,31.1934,1.89206,1.66077,2.19562,0.05332,0,0,0,0,0,0,0,0,0.00190197,0.00190197,0.00190197
4,41.1966,1.89683,1.65164,2.14007,0.05125,0,0,0,0,0,0,0,0,0.00189,0.00189,0.00189
5,50.8795,1.81473,1.62492,2.05226,0.04973,0,0,0,0,0,0,0,0,0.00185333,0.00185333,0.00185333
6,60.8516,1.76502,1.59525,1.92672,0.04605,0,0,0,0,0,0,0,0,0.00181667,0.00181667,0.00181667
7,70.9271,1.73514,1.5454,1.90592,0.04223,0,0,0,0,0,0,0,0,0.00178,0.00178,0.00178
8,80.9466,1.72668,1.51718,1.86751,0.04453,0,0,0,0,0,0,0,0,0.00174333,0.00174333,0.00174333
9,90.5673,1.68057,1.52154,1.83182,0.0397,0,0,0,0,0,0,0,0,0.00170667,0.00170667,0.00170667
10,100.416,1.67472,1.49398,1.82771,0.04059,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
11,110.141,1.60795,1.45924,1.78314,0.03444,0,0,0,0,0,0,0,0,0.00163333,0.00163333,0.00163333
12,120.163,1.63939,1.44965,1.81465,0.0404,0,0,0,0,0,0,0,0,0.00159667,0.00159667,0.00159667
13,130.07,1.60853,1.38995,1.76047,0.03554,0,0,0,0,0,0,0,0,0.00156,0.00156,0.00156
14,140.451,1.5532,1.34143,1.72955,0.03436,0,0,0,0,0,0,0,0,0.00152333,0.00152333,0.00152333
15,150.511,1.56723,1.38021,1.72893,0.03577,0,0,0,0,0,0,0,0,0.00148667,0.00148667,0.00148667
16,160.177,1.56804,1.34984,1.70406,0.03382,0,0,0,0,0,0,0,0,0.00145,0.00145,0.00145
17,169.856,1.53537,1.31657,1.71562,0.03219,0,0,0,0,0,0,0,0,0.00141333,0.00141333,0.00141333
18,179.748,1.54275,1.32511,1.69523,0.0344,0,0,0,0,0,0,0,0,0.00137667,0.00137667,0.00137667
19,190.071,1.50796,1.29785,1.68172,0.0311,0,0,0,0,0,0,0,0,0.00134,0.00134,0.00134
20,200.191,1.48786,1.26782,1.66526,0.02907,0,0,0,0,0,0,0,0,0.00130333,0.00130333,0.00130333
21,210.353,1.49051,1.301,1.67043,0.03057,0,0,0,0,0,0,0,0,0.00126667,0.00126667,0.00126667
22,220.372,1.50851,1.26169,1.66279,0.03226,0,0,0,0,0,0,0,0,0.00123,0.00123,0.00123
