epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7027,2.71998,2.9038,3.41666,0.13747,0,0,0,0,0,0,0,0,0.000642857,0.000642857,0.000642857
2,31.6767,2.21342,2.0067,2.48888,0.08483,0,0,0,0,0,0,0,0,0.00129017,0.00129017,0.00129017
3,46.7832,2.14644,1.9529,2.38902,0.07455,0,0,0,0,0,0,0,0,0.00191779,0.00191779,0.00191779
4,62.0404,2.05815,1.91504,2.33815,0.06679,0,0,0,0,0,0,0,0,0.00191134,0.00191134,0.00191134
5,77.3067,2.03332,1.91547,2.27724,0.07609,0,0,0,0,0,0,0,0,0.00188179,0.00188179,0.00188179
6,92.6478,2.04735,1.91153,2.19493,0.07357,0,0,0,0,0,0,0,0,0.00185224,0.00185224,0.00185224
7,108.21,1.94759,1.8606,2.11722,0.06055,0,0,0,0,0,0,0,0,0.00182269,0.00182269,0.00182269
8,123.765,1.88254,1.77002,2.06783,0.0547,0,0,0,0,0,0,0,0,0.00179313,0.00179313,0.00179313
9,139.314,1.89705,1.74977,2.11137,0.05569,0,0,0,0,0,0,0,0,0.00176358,0.00176358,0.00176358
10,154.931,1.92356,1.80471,2.14282,0.05528,0,0,0,0,0,0,0,0,0.00173403,0.00173403,0.00173403
11,170.589,1.8444,1.77268,2.09229,0.05726,0,0,0,0,0,0,0,0,0.00170448,0.00170448,0.00170448
12,186.309,1.81867,1.71717,1.97454,0.0559,0,0,0,0,0,0,0,0,0.00167493,0.00167493,0.00167493
13,202.135,1.81055,1.69161,2.04334,0.05275,0,0,0,0,0,0,0,0,0.00164537,0.00164537,0.00164537
14,217.825,1.78501,1.72181,1.99613,0.04968,0,0,0,0,0,0,0,0,0.00161582,0.00161582,0.00161582
15,233.598,1.77013,1.66451,1.97329,0.04829,0,0,0,0,0,0,0,0,0.00158627,0.00158627,0.00158627
16,249.436,1.75928,1.64668,2.00255,0.04715,0,0,0,0,0,0,0,0,0.00155672,0.00155672,0.00155672
17,265.277,1.74197,1.67748,1.98343,0.04873,0,0,0,0,0,0,0,0,0.00152716,0.00152716,0.00152716
18,281.126,1.7249,1.58628,1.96011,0.04983,0,0,0,0,0,0,0,0,0.00149761,0.00149761,0.00149761
19,296.991,1.68811,1.5658,1.93813,0.0411,0,0,0,0,0,0,0,0,0.00146806,0.00146806,0.00146806
20,312.907,1.75532,1.59461,1.98983,0.05176,0,0,0,0,0,0,0,0,0.00143851,0.00143851,0.00143851
21,328.771,1.69106,1.54118,1.92212,0.04907,0,0,0,0,0,0,0,0,0.00140896,0.00140896,0.00140896
22,344.6,1.66849,1.52209,1.90057,0.04136,0,0,0,0,0,0,0,0,0.0013794,0.0013794,0.0013794
23,360.359,1.68322,1.52085,1.91792,0.04184,0,0,0,0,0,0,0,0,0.00134985,0.00134985,0.00134985
24,376.161,1.60803,1.49435,1.88622,0.03859,0,0,0,0,0,0,0,0,0.0013203,0.0013203,0.0013203
25,391.918,1.66977,1.47903,1.91237,0.04437,0,0,0,0,0,0,0,0,0.00129075,0.00129075,0.00129075
26,407.797,1.60574,1.41912,1.82791,0.03872,0,0,0,0,0,0,0,0,0.00126119,0.00126119,0.00126119
27,423.614,1.60727,1.39672,1.85526,0.04216,0,0,0,0,0,0,0,0,0.00123164,0.00123164,0.00123164
28,439.38,1.59855,1.44316,1.8703,0.03847,0,0,0,0,0,0,0,0,0.00120209,0.00120209,0.00120209
29,455.252,1.56121,1.38294,1.80814,0.03502,0,0,0,0,0,0,0,0,0.00117254,0.00117254,0.00117254
30,471.08,1.60463,1.4575,1.88786,0.0442,0,0,0,0,0,0,0,0,0.00114299,0.00114299,0.00114299
31,487.037,1.59925,1.44604,1.86751,0.03585,0,0,0,0,0,0,0,0,0.00111343,0.00111343,0.00111343
