epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0892,2.35026,2.71389,3.61813,0.06827,0,0,0,0,0,0,0,0,0.000641026,0.000641026,0.000641026
2,20.979,1.99831,1.73261,2.48088,0.05281,0,0,0,0,0,0,0,0,0.00128372,0.00128372,0.00128372
3,30.9944,1.88085,1.63583,2.25169,0.04604,0,0,0,0,0,0,0,0,0.00190197,0.00190197,0.00190197
4,40.4374,1.90574,1.67841,2.16665,0.05541,0,0,0,0,0,0,0,0,0.00189,0.00189,0.00189
5,50.6315,1.83562,1.62411,2.07824,0.04804,0,0,0,0,0,0,0,0,0.00185333,0.00185333,0.00185333
6,60.6416,1.79386,1.61674,1.93369,0.04961,0,0,0,0,0,0,0,0,0.00181667,0.00181667,0.00181667
7,70.0731,1.77223,1.53693,1.90612,0.04702,0,0,0,0,0,0,0,0,0.00178,0.00178,0.00178
8,80.4813,1.69818,1.50737,1.84554,0.04007,0,0,0,0,0,0,0,0,0.00174333,0.00174333,0.00174333
9,90.5644,1.65259,1.49307,1.82264,0.04078,0,0,0,0,0,0,0,0,0.00170667,0.00170667,0.00170667
10,100.118,1.60512,1.41726,1.7664,0.03503,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
11,110.359,1.62,1.43419,1.78476,0.03629,0,0,0,0,0,0,0,0,0.00163333,0.00163333,0.00163333
12,120.787,1.63359,1.43041,1.78754,0.03597,0,0,0,0,0,0,0,0,0.00159667,0.00159667,0.00159667
13,130.623,1.59368,1.39862,1.74425,0.03436,0,0,0,0,0,0,0,0,0.00156,0.00156,0.00156
14,140.221,1.5786,1.35771,1.70685,0.0351,0,0,0,0,0,0,0,0,0.00152333,0.00152333,0.00152333
15,150.436,1.55936,1.35645,1.7241,0.03289,0,0,0,0,0,0,0,0,0.00148667,0.00148667,0.00148667
16,159.883,1.58093,1.34542,1.74007,0.03548,0,0,0,0,0,0,0,0,0.00145,0.00145,0.00145
17,169.365,1.54645,1.32437,1.71487,0.03292,0,0,0,0,0,0,0,0,0.00141333,0.00141333,0.00141333
18,179.657,1.56792,1.33756,1.70761,0.03464,0,0,0,0,0,0,0,0,0.00137667,0.00137667,0.00137667
19,189.35,1.52719,1.30005,1.68591,0.03334,0,0,0,0,0,0,0,0,0.00134,0.00134,0.00134
20,199.593,1.5178,1.26283,1.66828,0.03209,0,0,0,0,0,0,0,0,0.00130333,0.00130333,0.00130333
21,209.338,1.4905,1.27343,1.66958,0.02972,0,0,0,0,0,0,0,0,0.00126667,0.00126667,0.00126667
22,219.129,1.49113,1.2583,1.67306,0.02954,0,0,0,0,0,0,0,0,0.00123,0.00123,0.00123
23,229.131,1.44924,1.22279,1.64267,0.02837,0,0,0,0,0,0,0,0,0.00119333,0.00119333,0.00119333
24,238.919,1.4617,1.22236,1.64641,0.02898,0,0,0,0,0,0,0,0,0.00115667,0.00115667,0.00115667
25,248.862,1.45781,1.19075,1.6274,0.02845,0,0,0,0,0,0,0,0,0.00112,0.00112,0.00112
26,258.721,1.44177,1.16731,1.62446,0.0279,0,0,0,0,0,0,0,0,0.00108333,0.00108333,0.00108333
27,268.55,1.41294,1.14891,1.59821,0.0264,0,0,0,0,0,0,0,0,0.00104667,0.00104667,0.00104667
28,278.722,1.42053,1.1873,1.62042,0.02787,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
29,288.484,1.41808,1.1447,1.60513,0.02858,0,0,0,0,0,0,0,0,0.000973333,0.000973333,0.000973333
30,298.423,1.40102,1.17553,1.59812,0.02897,0,0,0,0,0,0,0,0,0.000936667,0.000936667,0.000936667
